Date,BA,GE,MMM,HON
2003-09-19,25.296259,18.982666000000002,49.331112,19.685448
2003-09-22,24.660145,18.667582,49.379757,19.425041
2003-09-23,24.843916,18.762691,49.59864,19.087221
2003-09-24,24.172459,18.316817999999998,49.042736,18.784573
2003-09-25,23.861462,18.173254,49.20256,18.664935999999997
2003-09-26,24.038164000000002,17.868170000000003,49.841873,18.453789
2003-09-29,24.349157,18.167267000000002,48.830795,18.664935999999997
2003-09-30,24.264338000000002,17.832275,47.996906,18.545285999999997
2003-10-01,24.978203,18.322798000000002,49.268570000000004,18.904224
2003-10-02,24.971134,18.394585,49.532631,18.693079
2003-10-03,25.338670999999998,18.436453,50.748711,19.030916
2003-10-06,25.310394,18.418514000000002,50.686176,19.22798
2003-10-07,25.564857,18.334766000000002,50.936344,19.284281
2003-10-08,25.642584,18.065575,50.519394,19.410971
2003-10-09,26.003057000000002,18.023705,51.520053999999995,19.615076000000002
2003-10-10,26.116142,17.539162,51.450577,19.35466
2003-10-13,26.363527,17.305866,51.784115,20.248495000000002
2003-10-14,26.257496000000003,17.52121,51.888366999999995,20.438523999999997
2003-10-15,26.151491,17.258009,51.214290999999996,20.508902
2003-10-16,26.469547,17.359701,51.137852,20.832655
2003-10-17,26.321112,17.07855,51.45752,20.417412
2003-10-20,26.342314000000002,17.216137,52.451225,20.572257999999998
2003-10-21,25.868755,17.275951,52.465137,20.445566
2003-10-22,25.557785,16.958902,52.687495999999996,20.135885000000002
2003-10-23,25.402279,16.982832000000002,52.763927,20.248495000000002
2003-10-24,25.642584,16.928993,52.59021800000001,19.988091
2003-10-27,25.472960999999998,16.881144,52.631912,20.283689000000003
2003-10-28,25.472960999999998,17.060602,53.681206,20.860813
2003-10-29,27.211681,17.246044,53.903553,20.748198000000002
2003-10-30,27.402514,17.275951,54.244064,21.437920000000002
2003-10-31,27.204607,17.353718,54.806953,21.543492999999998
2003-11-03,27.501469,17.228098000000003,54.751366000000004,21.684259
2003-11-04,27.374240999999998,17.144348,55.24474300000001,21.62092
2003-11-05,27.282362,17.006764999999998,55.015418999999994,21.395699
2003-11-06,27.487329,17.012745000000002,55.314228,21.423855
2003-11-07,27.494402,16.821325,54.925072,21.444971
2003-11-10,27.444923,16.851232999999997,54.786102,20.973415
2003-11-11,27.084453999999997,16.815344,54.54985799999999,20.93119
2003-11-12,27.737608,17.168282,54.827778,21.339396
2003-11-13,28.326874,16.952925,55.348994999999995,21.261982
2003-11-14,27.8654,16.677751999999998,54.57066700000001,20.93119
2003-11-17,28.213263,16.635881,54.334407999999996,20.903032
2003-11-18,27.567223,17.012745000000002,53.653397,20.45574
2003-11-19,27.971890999999996,17.628887,53.632462,20.625746
2003-11-20,27.936401,17.317822,53.597595,20.533657
2003-11-21,27.588514,17.084532,54.093070999999995,20.505326999999998
2003-11-24,27.609816,17.198183,55.523739,20.85239
2003-11-25,27.162553999999997,17.293896,55.25155600000001,21.036545
2003-11-26,27.176740999999996,17.210154,55.328342000000006,21.142794
2003-11-28,27.254841,17.150333,55.16084300000001,21.029463
2003-12-01,26.992157000000002,17.365685,56.961391000000006,21.284454
2003-12-02,26.857283000000002,17.634874,56.493801,20.717813
2003-12-03,27.347137,17.658796,56.521713,20.994057
2003-12-04,27.765997,17.437471,56.738082999999996,21.390697
2003-12-05,26.977964,17.407557,56.347243999999996,21.192368
2003-12-08,27.7731,17.569075,57.191685,21.383623
2003-12-09,27.389732000000002,17.682734,57.240547,21.589025
2003-12-10,27.595613,17.77844,56.486813,21.461536
2003-12-11,28.085485,18.185209,56.696201,21.943172
2003-12-12,27.950585999999998,18.011736,56.856674,22.162746
2003-12-15,27.829896999999995,18.143337,57.22658199999999,21.836931
2003-12-16,28.348162,18.334766000000002,57.910526000000004,21.596107
2003-12-17,29.008402,18.382620000000003,58.245502,21.433197
2003-12-18,29.356289,18.454401,58.22456,22.361082
2003-12-19,29.448582000000002,18.478334,58.671204,22.538149
2003-12-22,29.533765999999996,18.544134,59.494705,23.239368
2003-12-23,29.775156,18.603954,59.048058,23.310198
2003-12-24,29.36338,18.48431,58.789837,23.182705
2003-12-26,29.441484000000003,18.376632999999998,58.768917,23.239368
2003-12-29,29.817739000000003,18.563297,58.971298,23.48019
2003-12-30,30.016527000000004,18.497065,58.817753,23.381029
2003-12-31,29.917135,18.653608,59.341152,23.678514
2004-01-02,29.810654,18.737907,58.182701,23.607687
2004-01-05,29.867447,19.014882999999998,59.292331999999995,23.728094
2004-01-06,29.768063,18.888432,59.110878,24.032664999999998
2004-01-07,30.016527000000004,19.075087,58.09194599999999,23.89101
2004-01-08,30.428301,19.418304,57.701126,25.03845
2004-01-09,30.272114000000002,19.147339000000002,57.505741,24.748054999999997
2004-01-12,30.108828999999997,19.321962,58.04311800000001,24.797629999999998
2004-01-13,29.988148,19.032946,57.840697999999996,24.825960000000002
2004-01-14,30.605783000000002,19.267775,58.413002,25.619255
2004-01-15,30.556095000000003,19.267775,58.831711,25.838839
2004-01-16,31.244740000000004,20.080631,59.655239,26.511715000000002
2004-01-20,30.655483,20.086653,56.116935999999995,25.258032
2004-01-21,30.953665,20.381687,57.052124,25.704256
2004-01-22,30.456701000000002,20.182997,57.303326,25.449266
2004-01-23,29.711246000000003,19.996336,57.198639,25.229694
2004-01-26,30.130121000000003,20.556307,57.554611,25.775089
2004-01-27,29.775156,20.586412,57.29636800000001,25.286362
2004-01-28,29.491179,20.327499,55.830811,25.272198
2004-01-29,30.030731,20.490076000000002,55.495819,25.463427
2004-01-30,29.640271999999996,20.249226,55.195747,25.583841
2004-02-02,30.201135999999998,20.249226,54.43504,25.470514
2004-02-03,30.598694000000002,19.996336,55.063118,25.130535000000002
2004-02-04,30.925264000000002,19.978273,55.44698,24.684307
2004-02-05,31.493215999999997,20.182997,55.132934999999996,25.130535000000002
2004-02-06,31.486117999999998,19.978273,55.698223,25.428015
2004-02-09,31.209232,19.803659,55.405120999999994,25.201363
2004-02-10,31.074368,19.568829,56.703163,25.229694
2004-02-11,31.708671999999996,19.918058,56.80785,25.569679
2004-02-12,31.623144,19.785591,56.514736,26.171732000000002
2004-02-13,31.680164,19.7013,55.60750600000001,25.789248
2004-02-17,31.787065999999996,19.899995999999998,56.054131000000005,25.824669
2004-02-18,31.779936,19.719364000000002,55.843853,25.4676
2004-02-19,31.730043,19.62904,55.45125600000001,25.432013
2004-02-20,31.601767,19.689251000000002,55.871864,25.332335
2004-02-23,31.088608,20.122774,56.390632999999994,24.926502
2004-02-24,30.803532,20.038486,55.717663,24.883776
2004-02-25,31.231165,19.851828,55.07970400000001,24.898024
2004-02-26,30.247604,19.791245,54.80631999999999,24.876667
2004-02-27,30.910439,19.700373000000003,54.694153,24.954971
2004-03-01,31.195511,19.863947,55.226929000000005,25.140093
2004-03-02,30.881915999999997,19.682203,54.897438,24.848186
2004-03-03,30.689498999999998,19.90029,55.346077,24.969223
2004-03-04,30.383026,19.930584,55.304028,25.061771
2004-03-05,30.447167999999998,19.851826000000003,55.142788,24.890902
2004-03-08,30.233351000000003,19.282385,54.448795,24.563389
2004-03-09,29.705948,19.11882,54.574963000000004,24.178907000000002
2004-03-10,29.306815999999998,18.840158,53.278071999999995,23.466935999999997
2004-03-11,28.615488,18.428209,52.822403,23.096704000000003
2004-03-12,28.722406,18.537257999999998,53.432304,23.495419000000002
2004-03-15,28.351784000000002,18.355516,52.485896999999994,23.203505
2004-03-16,28.088084999999996,18.476682999999998,55.247955000000005,22.861752
2004-03-17,28.366041,18.634184,55.773734999999995,23.353018
2004-03-18,28.309029,18.609953,55.998039,23.303185
2004-03-19,28.102337,18.258595,55.913929,23.239101
2004-03-22,27.567799,17.816361999999998,55.878902000000004,22.605439999999998
2004-03-23,27.874273,17.689152,55.80175799999999,22.719355
2004-03-24,27.817245,17.677031,55.682579000000004,22.769192
